Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jawa barat - ciamis,6,0.69,7.42,40.35,0.00,21.45,8.32,0.64,72.57,25.40,83.20,99,
jawa barat - kuningan,6,0.67,12.12,38.36,0.00,29.18,7.94,0.39,74.29,23.40,81.43,131,
jawa barat - cirebon,6,0.82,11.20,32.93,0.00,15.84,7.97,0.18,72.76,22.90,82.77,107,
jawa barat - majalengka,6,0.41,11.21,33.66,0.00,26.26,7.74,0.43,71.05,24.10,82.58,112,
jawa barat - sumedang,6,0.53,9.36,29.68,0.00,17.60,8.89,0.61,73.19,14.40,86.88,40,
jawa barat - indramayu,6,0.24,12.13,41.69,0.24,6.41,7.09,0.57,72.46,18.40,86.52,46,
jawa barat - subang,6,0.29,9.52,28.03,0.00,27.91,7.67,0.65,73.24,18.70,85.65,61,
jawa barat - purwakarta,6,0.94,8.46,35.21,0.00,29.17,8.04,0.30,71.74,24.00,80.19,163,
jawa barat - karawang,6,0.41,7.87,19.78,0.00,11.45,8.13,0.27,72.90,17.10,89.04,12,
jawa barat - bekasi,6,1.18,4.93,14.15,0.00,6.36,9.79,0.13,74.30,23.20,87.48,30,
jawa barat - bandung barat,6,1.77,10.52,33.07,0.00,24.46,8.16,0.48,73.10,25.10,75.79,242,
jawa barat - pangandaran,6,0.56,8.98,32.89,0.00,22.31,8.16,0.98,72.17,23.90,83.86,90,
jawa barat - kota bogor,6,0.00,6.67,13.52,0.00,9.88,10.36,0.02,74.45,18.20,85.53,48,
jawa barat - kota sukabumi,6,0.00,7.50,21.17,0.00,12.32,10.26,0.02,73.11,26.90,80.90,66,
jawa barat - kota bandung,6,0.00,3.96,7.99,0.00,4.68,10.91,0.01,75.04,16.30,91.55,11,
jawa barat - kota cirebon,6,0.00,9.16,16.56,0.01,3.34,10.35,0.01,73.08,19.90,83.78,55,
jawa barat - kota bekasi,6,0.00,4.10,4.65,0.00,7.14,11.69,0.02,75.79,10.30,93.90,2,
jawa barat - kota depok,6,0.00,2.38,3.82,0.00,19.52,11.42,0.03,75.23,14.30,89.81,19,
jawa barat - kota cimahi,6,0.00,4.66,12.33,0.00,6.98,11.12,0.01,74.80,24.50,88.68,28,
jawa barat - kota tasikmalaya,6,0.00,11.53,34.72,0.00,16.47,9.64,0.06,72.92,27.10,74.37,86,
jawa barat - kota banjar,6,0.00,6.14,27.88,0.00,9.82,8.77,0.12,71.80,23.60,78.92,73,
jawa tengah - cilacap,6,0.45,10.99,26.68,0.00,27.64,7.46,0.54,74.25,18.50,84.69,80,
jawa tengah - banyumas,6,1.02,12.53,18.84,0.00,30.51,8.04,0.22,73.98,20.90,80.74,149,
jawa tengah - purbalingga,6,0.98,14.99,29.60,0.12,28.37,7.65,0.30,73.37,26.00,78.47,200,
jawa tengah - banjarnegara,6,1.18,14.90,23.91,0.00,23.50,7.15,0.51,74.47,19.90,79.40,180,
jawa tengah - kebumen,6,0.59,16.34,19.60,0.00,33.23,7.74,0.33,73.83,21.90,81.21,138,
jawa tengah - purworejo,6,0.48,11.33,20.55,0.00,23.10,8.34,0.49,75.21,20.60,86.22,51,
jawa tengah - wonosobo,6,1.10,15.58,26.03,0.00,20.14,7.07,0.59,72.17,29.20,77.87,210,
jawa tengah - magelang,6,1.22,10.96,18.81,0.04,26.04,7.80,0.48,74.20,25.80,80.20,162,
jawa tengah - boyolali,6,0.52,9.81,15.19,0.00,19.18,7.98,0.37,76.23,21.50,87.70,25,
